"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER_NAME","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,1.00,23670.00,98.00,80.00,100.00,0.00,692.00,116.00,105.00,"Delta Air Lines Inc.","DL","ABE","ATL",6,"640",1,1992,4,11,2,"F",
0.00,4.00,58800.00,252.00,207.00,0.00,3847.00,480.00,403.00,356.00,"US Airways Inc.","US","ABE","CLT",6,"601",1,1992,4,11,1,"F",
0.00,1.00,18870.00,78.00,61.00,145.00,500.00,55.00,53.00,29.00,"Northwest Airlines Inc.","NW","ABE","PHL",6,"630",1,1992,4,11,1,"F",
0.00,1.00,16564.00,68.00,8.00,0.00,0.00,253.00,72.00,50.00,"US Airways Inc.","US","ABE","PIT",6,"602",1,1992,4,11,1,"F",
0.00,1.00,26155.00,107.00,37.00,4.00,2586.00,253.00,95.00,82.00,"Delta Air Lines Inc.","DL","ABE","PIT",6,"620",1,1992,4,11,1,"F",
0.00,1.00,23850.00,98.00,88.00,145.00,99.00,253.00,69.00,57.00,"US Airways Inc.","US","ABE","PIT",6,"603",1,1992,4,11,1,"F",
0.00,1.00,75575.00,257.00,199.00,6807.00,0.00,339.00,90.00,52.00,"Continental Air Lines Inc.","CO","ABQ","DEN",6,"690",1,1992,4,11,1,"F",
0.00,1.00,75575.00,257.00,12.00,0.00,0.00,744.00,121.00,100.00,"Continental Air Lines Inc.","CO","ABQ","IAH",6,"690",1,1992,4,11,2,"F",
0.00,1.00,48210.00,184.00,132.00,758.00,846.00,677.00,122.00,104.00,"Northwest Airlines Inc.","NW","ABQ","LAX",6,"622",1,1992,4,11,2,"F",
0.00,1.00,38630.00,146.00,74.00,0.00,0.00,981.00,156.00,132.00,"Northwest Airlines Inc.","NW","ABQ","MSP",7,"715",1,1992,4,11,2,"F",
0.00,1.00,88840.00,287.00,101.00,6808.00,30.00,1118.00,158.00,134.00,"United Air Lines Inc.","UA","ABQ","ORD",7,"730",1,1992,4,11,3,"F",
0.00,7.00,266770.00,1036.00,613.00,240.00,160.00,328.00,492.00,396.00,"America West Airlines Inc.","HP","ABQ","PHX",6,"694",1,1992,4,11,1,"F",
0.00,1.00,38630.00,146.00,145.00,0.00,1669.00,328.00,68.00,53.00,"Northwest Airlines Inc.","NW","ABQ","PHX",7,"715",1,1992,4,11,1,"F",
0.00,1.00,23250.00,98.00,28.00,0.00,0.00,497.00,168.00,152.00,"US Airways Inc.","US","ACY","DTW",6,"603",1,1992,4,11,1,"F",
0.00,8.00,192000.00,792.00,180.00,3280.00,1115.00,252.00,392.00,341.00,"Markair Inc.","BF","ADQ","ANC",6,"621",1,1992,4,11,1,"F",
0.00,25.00,707406.00,1396.00,578.00,29383.00,5505.00,252.00,1307.00,1036.00,"Alaska Airlines Inc.","AS","ADQ","ANC",6,"621",3,1992,4,11,1,"F",
0.00,15.00,220500.00,945.00,477.00,63.00,0.00,140.00,578.00,438.00,"US Airways Inc.","US","AGS","CLT",6,"601",1,1992,4,11,1,"F",
0.00,1.00,23000.00,110.00,105.00,0.00,0.00,140.00,51.00,43.00,"US Airways Inc.","US","AGS","CLT",6,"620",1,1992,4,11,1,"F",
0.00,1.00,37638.00,146.00,55.00,0.00,0.00,199.00,46.00,34.00,"US Airways Inc.","US","AGS","JAX",6,"617",1,1992,4,11,1,"F",
0.00,1.00,27780.00,110.00,47.00,141.00,0.00,96.00,29.00,20.00,"US Airways Inc.","US","AGS","SAV",6,"620",1,1992,4,11,1,"F",
0.00,1.00,24000.00,99.00,0.00,0.00,0.00,289.00,60.00,47.00,"Markair Inc.","BF","AKN","ANC",6,"621",1,1992,4,11,1,"F",
0.00,3.00,94000.00,187.00,7.00,964.00,394.00,289.00,249.00,226.00,"Markair Inc.","BF","AKN","ANC",6,"621",3,1992,4,11,1,"F",
0.00,14.00,419796.00,424.00,93.00,8978.00,4483.00,289.00,746.00,606.00,"Alaska Airlines Inc.","AS","AKN","ANC",6,"621",3,1992,4,11,1,"F",
0.00,1.00,24000.00,99.00,44.00,340.00,615.00,71.00,25.00,19.00,"Markair Inc.","BF","AKN","DLG",6,"621",1,1992,4,11,1,"F",
0.00,1.00,26040.00,108.00,61.00,0.00,2500.00,251.00,69.00,48.00,"United Air Lines Inc.","UA","ALB","BUF",6,"616",1,1992,4,11,1,"F",
0.00,2.00,50680.00,216.00,154.00,0.00,35.00,723.00,295.00,249.00,"United Air Lines Inc.","UA","ALB","ORD",7,"710",1,1992,4,11,2,"F",
